#gene_id	length	counts	tpm
TrG1209W	849	0	0
TrG1207W	708	2	1.94121
TrG1206C	1416	1	0.365554
TrG1204W	1119	0	0
TrG1203C	1554	3	0.977823
TrG1201W	678	0	0
TrG1199W	1014	0	0
TrG1193W	408	0	0
TrG1191W	1398	0	0
TrG1189C	492	0	0
TrG1187W	1443	0	0
TrG1186W	468	0	0
TrG1185W	948	0	0
TrG1184C	1032	0	0
TrG1182C	1455	0	0
TrG1180W	597	0	0
TrG1179W	852	1	0.726242
TrG1176C	1563	1	0.323654
TrG1174C	456	0	0
TrG1172C	1485	0	0
TrG1171C	2868	5	0.802123
TrG1169C	1086	1	0.515317
TrG1159C	225	0	0
TrG1155C	1515	35	11.7683
TrG1149C	633	2	2.35301
TrG1147C	747	6	5.33702
TrG1146C	2295	0	0
TrG1145W	894	0	0
TrG1144C	762	0	0
TrG1142C	483	1	2.0441
TrG1140W	1263	0	0
TrG1133C	2487	14	2.63367
TrG1130W	1002	0	0
TrG1127W	2295	39	8.03589
TrG1124C	1080	0	0
TrG1118C	3420	48.232	6.37695
TrG1115W	1221	32	14.1231
TrG1111C	1347	16	6.22727
TrG1110W	2592	4	0.718295
TrG1108C	1389	5.013	1.87729
TrG1104W	999	15	8.66572
TrG1102C	597	21	27.5084
TrG1094W	1797	7	1.91599
TrG1093W	1563	47	15.2117
TrG1092C	1926	14	3.53157
TrG1086W	1134	4348	2114.59
TrG1084C	4584	11	1.06098
TrG1083W	837	0	0
TrG1082C	1155	15	7.11985
TrG1081W	3090	30	4.43229
TrG1079W	1062	12	6.37371
TrG1078W	360	0	0
TrG1076W	1347	5	1.94602
TrG1073C	1554	0	0
TrG1072W	1107	6	3.01334
TrG1071W	1428	10	3.61731
TrG1069W	1419	0	0
TrG1067W	1389	3	1.12337
TrG1066W	453	0	0
TrG1064W	819	1	0.770735
TrG1063W	996	4	2.32055
TrG1061C	6369	7	0.477225
TrG1055C	498	7	13.3259
TrG1054W	2088	4	0.918584
TrG1052C	984	8	4.72027
TrG1051W	1923	20	5.05431
TrG1050C	1629	19	5.84844
TrG1049W	2052	15	3.51469
TrG1048W	720	5	4.72059
TrG1047W	1191	1	0.455889
TrG1046C	3348	0	0
TrG1137C	468	0	0
TrG1045C	1026	3	1.67037
TrG1044C	2337	8	1.61472
TrG1043W	1206	2	0.897001
TrG1040W	621	5	6.08938
TrG1038W	888	0	0
TrG1036W	2247	5	1.05539
TrG1035C	801	3	2.39215
TrG1032C	678	0	0
TrG1029C	3498	0	0
TrG1027C	3093	70	10.331
TrG1026C	1077	8	4.16912
TrG1025C	2277	10	2.07906
TrG1024C	1041	14	7.64133
TrG1023C	1293	1	0.409962
TrG1020W	1449	1	0.35523
TrG1018W	417	2	5.86853
TrG1017C	2631	1	0.176594
TrG1016C	645	1	1.13788
TrG1015C	2913	5.09	0.802643
TrG1014W	1428	6.91	2.4994
TrG1013C	2421	1	0.193919
TrG1012C	846	0	0
TrG1011C	366	5	20.0783
TrG1006W	2421	3	0.581758
TrG1005W	2652	26.989	4.72389
TrG1004C	1545	24	7.87826
TrG1003W	4674	37	3.49564
TrG1002W	1035	0	0
TrG1001C	1041	19	10.3704
TrG1000W	1287	112	46.1895
TrG0999W	1101	12	6.07075
TrG0998C	1458	5	1.76257
TrG0997C	2073	0	0
TrG0996C	753	10	8.78235
TrG0995W	645	2	2.27576
TrG0993W	798	7.041	5.6471
TrG0991C	1632	8	2.45704
TrG0988C	2352	5	1.00189
TrG0986W	2619	17	3.0175
TrG0981W	2214	26	5.58169
TrG0980W	1716	5	1.44579
TrG0976W	924	0	0
TrG0975C	1749	4	1.13064
TrG0974W	1620	0	0
TrG0973C	1116	0	0
TrG0971C	1011	14	7.95514
TrG0970C	240	0	0
TrG0968W	465	0	0
TrG0966C	189	0	0
TrG0965W	1326	47	18.66
TrG0964C	1602	1	0.314102
TrG0962C	1572	14	4.49958
TrG0958W	1338	5	1.96258
TrG0953W	1023	0	0
TrG0951W	2445	72	13.8074
TrG0950W	2931	9	1.40945
TrG0949C	471	0	0
TrG0948C	528	2	3.34755
TrG0947W	1203	7.006	3.1523
TrG0944W	981	5	2.9628
TrG0939W	219	0	0
TrG0938W	477	1	2.10595
TrG1183C	1512	1	0.337057
TrG0935W	633	0	0
TrG0934W	1881	15	3.89021
TrG0932W	612	0	0
TrG0931C	291	0	0
TrG0930C	1245	0	0
TrG0929W	1620	0	0
TrG0928W	519	20	34.734
TrG0927C	5142	16.235	1.3862
TrG0926C	3078	23	3.41267
TrG0924C	1269	4	1.67966
TrG0923W	1269	0	0
TrG0922W	546	0	0
TrG0919C	1236	4	1.73767
TrG0916W	711	55	53.0115
TrG0914C	2661	1	0.174369
TrG0907W	255	10	101.027
TrG0905W	555	0	0
TrG0904C	948	5.072	3.15423
TrG0898W	107	0	0
TrG0893C	1278	10	4.16127
TrG0890C	4182	184	19.5759
TrG0887C	1236	5	2.17209
TrG0886W	363	20	81.97
TrG0883W	510	0	0
TrG0882C	1023	0	0
TrG0881C	432	7	18.8706
TrG0880C	1335	0	0
TrG0878W	4413	10	1.00444
TrG0877C	1128	9	4.40801
TrG0876W	2682	33	5.70385
TrG0874W	459	15	34.7326
TrG0871W	432	2	5.39159
TrG0870C	1677	12.081	3.59093
TrG0869W	294	9	63.935
TrG0868C	1155	36	17.0876
TrG0867W	918	0	0
TrG0865W	1425	7	2.53875
TrG0864W	831	0	0
TrG0863C	3735	0	0
TrG0860W	1125	0	0
TrG0859W	1461	0	0
TrG0856C	1518	0	0
TrG0855W	1446	10	3.56144
TrG0852W	1095	41	20.8945
TrG0848C	414	0	0
TrG0847C	474	0	0
TrG0846C	591	0	0
TrG0845W	1005	0	0
TrG0841C	3456	0	0
TrG0839C	318	0	0
TrG0838W	4689	3	0.282466
TrG0837C	1851	14	3.70022
TrG0835C	1158	0	0
TrG0834C	270	0	0
TrG0829W	1077	25	13.0285
TrG0828C	945	12	7.49593
TrG0827C	1770	0	0
TrG0826W	663	51.296	55.6305
TrG0823W	1596	0	0
TrG0822C	684	18	18.5084
TrG0814C	405	18	56.6133
TrG0812W	1224	4	1.75978
TrG0808C	1191	6	2.73534
TrG0802C	1851	3	0.792904
TrG0798C	1242	8	3.45366
TrG0796C	1287	6	2.47444
TrG0793W	1656	15	4.52656
TrG0791C	1113	3	1.49581
TrG0789C	3792	0	0
TrG0787W	777	0	0
TrG0780C	132	1	28.5725
TrG0774W	1656	13	3.92302
TrG0773W	174	0	0
TrG0772C	4476	23	2.27551
TrG0770W	1392	0	0
TrG0769C	2778	11	1.8282
TrG0768C	3681	3	0.366197
TrG0767W	237	0	0
TrG0765C	684	19	19.5367
TrG0764C	1278	7	2.91289
TrG0763W	2628	12	2.12184
TrG0762W	738	11	9.97693
TrG0760C	3342	9	1.22024
TrG0759C	2364	0	0
TrG0757C	1809	3	0.814692
TrG0756W	1797	0	0
TrG0754W	321	0	0
TrG0753C	1995	1	0.242103
TrG0751W	1866	10	2.61801
TrG0748C	792	5	4.05671
TrG0747C	639	0	0
TrG0745C	1749	11.014	3.11328
TrG0743W	1032	3	1.65704
TrG0742C	1128	0	0
TrG0734C	1257	33	14.0275
TrG0730W	1821	3	0.808345
TrG0729W	2802	8	1.31694
TrG0728W	384	0	0
TrG0724C	1179	33	15.2453
TrG0721C	2526	8	1.47881
TrG0719C	552	102.996	157.205
TrG0713C	693	15	15.0877
TrG0712W	375	10	37.8263
TrG0711W	1500	16	5.44598
TrG1031W	1752	81.945	23.1154
TrG0710C	1050	8	4.3154
TrG0709W	687	18	18.3721
TrG0707C	1785	22	6.06971
TrG0706W	2109	20	4.54017
TrG0705C	360	7	29.2841
TrG0703C	771	4	3.3842
TrG0702W	1056	156	83.4993
TrG0699C	900	9	6.03002
TrG0696W	1842	4	1.0633
TrG0695C	588	22	29.6595
TrG0694W	987	3	1.76258
TrG0691W	3291	8	1.10303
TrG0689C	1137	13	6.30022
TrG0688W	969	3	1.80866
TrG0685W	1428	9.744	3.52487
TrG0684C	1608	1	0.312682
TrG0683W	360	0	0
TrG0681C	1620	8	2.47905
TrG0680W	483	8.012	16.3765
TrG1101W	846	7	5.13759
TrG0679C	225	0	0
TrG0677W	174	0	0
TrG0676C	834	6	4.49911
TrG0674C	2649	6	1.05151
TrG0673C	864	20	14.2262
TrG0669W	2316	12	2.44707
TrG0920W	756	0	0
TrG0668C	1860	11.002	2.89138
TrG0667C	834	10	7.49852
TrG0666C	1059	3	1.59957
TrG0664W	1011	15	8.52337
TrG0663C	1428	18	6.51116
TrG0977W	633	0	0
TrG0662W	660	20	21.8613
TrG0661C	1464	3	1.05218
TrG0659W	1494	58.426	19.9849
TrG0655C	1107	14	7.03113
TrG0653W	1074	28	14.6471
TrG0651C	2487	12	2.25743
TrG0649W	2076	27	6.24188
TrG0648W	477	31	65.2845
TrG0646C	744	2	1.79052
TrG0645C	654	121	134.373
TrG0644C	1617	6	1.86346
TrG0643W	1905	8	2.04413
TrG1168C	798	5	4.00997
TrG0642W	747	6	5.33702
TrG0779W	1092	23	11.7647
TrG0639W	1017	29	16.3443
TrG0638W	1116	1	0.496813
TrG0637W	462	0	0
TrG0636W	1656	182.756	55.1503
TrG0635W	522	78.998	135.497
TrG0633W	1536	26	8.59596
TrG0632C	1983	1	0.243809
TrG0630W	1020	21	11.7875
TrG0628C	972	20.48	12.2936
TrG0624W	1392	2.034	0.759675
TrG0623W	2514	7	1.30091
TrG0620C	633	3	3.52952
TrG0619W	2619	33	5.85751
TrG0615W	1437	84	30.1489
TrG0612C	633	6	7.05903
