#gene_id	length	counts	tpm
TrG1209W	849	0	0
TrG1207W	708	5	4.76657
TrG1206C	1416	1	0.36881
TrG1204W	1119	1	0.496646
TrG1203C	1554	1	0.329413
TrG1201W	678	0	0
TrG1199W	1014	1	0.566005
TrG1193W	408	0	0
TrG1191W	1398	0	0
TrG1189C	492	0	0
TrG1187W	1443	0	0
TrG1186W	468	0	0
TrG1185W	948	0	0
TrG1184C	1032	0	0
TrG1182C	1455	0	0
TrG1180W	597	1	1.26757
TrG1179W	852	1	0.721174
TrG1176C	1563	2	0.654267
TrG1174C	456	0	0
TrG1172C	1485	0	0
TrG1171C	2868	14	2.28629
TrG1169C	1086	0	0
TrG1159C	225	1	13.0802
TrG1155C	1515	95.652	32.4897
TrG1149C	633	13	14.8872
TrG1147C	747	12	10.5228
TrG1146C	2295	0	0
TrG1145W	894	0	0
TrG1144C	762	1	0.850672
TrG1142C	483	4	7.66418
TrG1140W	1263	0	0
TrG1133C	2487	26	4.97308
TrG1130W	1002	0	0
TrG1127W	2295	91	19.0497
TrG1124C	1080	3	1.56099
TrG1118C	3420	106	14.2846
TrG1115W	1221	112	49.7072
TrG1111C	1347	59	23.1438
TrG1110W	2592	5	0.913261
TrG1108C	1389	12	4.53176
TrG1104W	999	28	16.1708
TrG1102C	597	53	67.1813
TrG1094W	1797	36	9.98134
TrG1093W	1563	122.031	39.9205
TrG1092C	1926	23.002	5.88305
TrG1086W	1134	542	264.551
TrG1084C	4584	22	2.16624
TrG1083W	837	2	1.4799
TrG1082C	1155	29.27	13.9506
TrG1081W	3090	62	9.33014
TrG1079W	1062	38	20.2175
TrG1078W	360	0	0
TrG1076W	1347	9	3.53041
TrG1073C	1554	0	0
TrG1072W	1107	23	11.5851
TrG1071W	1428	13	4.74518
TrG1069W	1419	1	0.367854
TrG1067W	1389	11	4.15412
TrG1066W	453	1	2.20793
TrG1064W	819	2	1.52766
TrG1063W	996	5	2.89943
TrG1061C	6369	7	0.487791
TrG1055C	498	20	35.906
TrG1054W	2088	8	1.86457
TrG1052C	984	7	4.12655
TrG1051W	1923	54.948	14.079
TrG1050C	1629	22	6.84943
TrG1049W	2052	24	5.7062
TrG1048W	720	20	18.5682
TrG1047W	1191	10	4.58148
TrG1046C	3348	0	0
TrG1137C	468	0	0
TrG1045C	1026	8.023	4.46993
TrG1044C	2337	15	3.0765
TrG1043W	1206	5	2.25434
TrG1040W	621	12	14.1991
TrG1038W	888	0	0
TrG1036W	2247	13	2.7872
TrG1035C	801	7	5.52489
TrG1032C	678	3	3.06537
TrG1029C	3498	1	0.131512
TrG1027C	3093	156	23.451
TrG1026C	1077	21	10.9671
TrG1025C	2277	18	3.80174
TrG1024C	1041	37	20.2162
TrG1023C	1293	0	0
TrG1020W	1449	4	1.43422
TrG1018W	417	1	2.65082
TrG1017C	2631	0	0
TrG1016C	645	5	5.54703
TrG1015C	2913	14	2.24748
TrG1014W	1428	10	3.65014
TrG1013C	2421	1	0.19712
TrG1012C	846	0	0
TrG1011C	366	16	56.8546
TrG1006W	2421	3	0.591359
TrG1005W	2652	76	13.5331
TrG1004C	1545	62	20.5669
TrG1003W	4674	71	6.84842
TrG1002W	1035	2	1.10125
TrG1001C	1041	55.828	30.5035
TrG1000W	1287	319.421	132.634
TrG0999W	1101	35	17.7556
TrG0998C	1458	18	6.40543
TrG0997C	2073	1	0.235001
TrG0996C	753	72	62.3669
TrG0995W	645	19	21.0787
TrG0993W	798	30	23.8103
TrG0991C	1632	12	3.72787
TrG0988C	2352	4	0.814512
TrG0986W	2619	44	7.94463
TrG0981W	2214	31	6.75877
TrG0980W	1716	7	2.04895
TrG0976W	924	1	0.642866
TrG0975C	1749	5	1.43105
TrG0974W	1620	0	0
TrG0973C	1116	1	0.498391
TrG0971C	1011	36	20.4578
TrG0970C	240	0	0
TrG0968W	465	0	0
TrG0966C	189	1	16.5242
TrG0965W	1326	125	50.0013
TrG0964C	1602	0	0
TrG0962C	1572	46	14.9447
TrG0958W	1338	5	1.97775
TrG0953W	1023	0	0
TrG0951W	2445	101.12	19.7136
TrG0950W	2931	16	2.55122
TrG0949C	471	0	0
TrG0948C	528	12	19.1315
TrG0947W	1203	26	11.7599
TrG0944W	981	34	20.1269
TrG0939W	219	0	0
TrG0938W	477	12	23.6264
TrG1183C	1512	0	0
TrG0935W	633	0	0
TrG0934W	1881	34	8.93768
TrG0932W	612	0	0
TrG0931C	291	0	0
TrG0930C	1245	0	0
TrG0929W	1620	0	0
TrG0928W	519	43	70.9374
TrG0927C	5142	36	3.13942
TrG0926C	3078	36	5.44059
TrG0924C	1269	0	0
TrG0923W	1269	0	0
TrG0922W	546	0	0
TrG0919C	1236	10	4.36978
TrG0916W	711	152.081	144.016
TrG0914C	2661	0	0
TrG0907W	255	32	294.055
TrG0905W	555	1	1.44827
TrG0904C	948	8	4.96321
TrG0898W	107	0	0
TrG0893C	1278	10	4.18912
TrG0890C	4182	764.949	83.0455
TrG0887C	1236	50	21.8489
TrG0886W	363	36	130.376
TrG0883W	510	0	0
TrG0882C	1023	0	0
TrG0881C	432	19	46.6104
TrG0880C	1335	5	1.98327
TrG0878W	4413	19	1.94791
TrG0877C	1128	41	20.1508
TrG0876W	2682	48	8.44123
TrG0874W	459	34	72.8982
TrG0871W	432	14	34.3445
TrG0870C	1677	71.029	21.3637
TrG0869W	294	38	232.655
TrG0868C	1155	117.022	55.775
TrG0867W	918	0	0
TrG0865W	1425	7	2.56169
TrG0864W	831	0	0
TrG0863C	3735	0	0
TrG0860W	1125	1	0.493192
TrG0859W	1461	1	0.354966
TrG0856C	1518	9	3.0497
TrG0855W	1446	18	6.47035
TrG0852W	1095	279.311	142.716
TrG0848C	414	0	0
TrG0847C	474	0	0
TrG0846C	591	0	0
TrG0845W	1005	0	0
TrG0841C	3456	1	0.133241
TrG0839C	318	0	0
TrG0838W	4689	7	0.672909
TrG0837C	1851	39	10.4456
TrG0835C	1158	0	0
TrG0834C	270	2	15.5436
TrG0829W	1077	70	36.5571
TrG0828C	945	14	8.72376
TrG0827C	1770	1	0.282248
TrG0826W	663	172.167	182.473
TrG0823W	1596	0	0
TrG0822C	684	25	25.183
TrG0814C	405	29	81.93
TrG0812W	1224	5	2.21215
TrG0808C	1191	11	5.03963
TrG0802C	1851	6	1.60702
TrG0798C	1242	16	6.94884
TrG0796C	1287	24	9.96559
TrG0793W	1656	37	11.2963
TrG0791C	1113	7	3.50104
TrG0789C	3792	0	0
TrG0787W	777	0	0
TrG0780C	132	3	92.8991
TrG0774W	1656	25	7.63267
TrG0773W	174	0	0
TrG0772C	4476	99	9.99791
TrG0770W	1392	1	0.376644
TrG0769C	2778	30	5.07445
TrG0768C	3681	8	0.995779
TrG0767W	237	1	11.3545
TrG0765C	684	42	42.3074
TrG0764C	1278	8	3.35129
TrG0763W	2628	36	6.47542
TrG0762W	738	37	33.0567
TrG0760C	3342	21	2.90163
TrG0759C	2364	3	0.607396
TrG0757C	1809	5	1.37554
TrG0756W	1797	4	1.10904
TrG0754W	321	4	19.4854
TrG0753C	1995	10	2.45579
TrG0751W	1866	17	4.51063
TrG0748C	792	25	20.0662
TrG0747C	639	0	0
TrG0745C	1749	77	22.0382
TrG0743W	1032	4	2.21109
TrG0742C	1128	11	5.40632
TrG0734C	1257	111	47.4807
TrG0730W	1821	3	0.818973
TrG0729W	2802	31	5.19405
TrG0728W	384	0	0
TrG0724C	1179	44	20.4224
TrG0721C	2526	13	2.4437
TrG0719C	552	311.544	455.83
TrG0713C	693	41	40.4404
TrG0712W	375	10	33.5903
TrG0711W	1500	83	28.534
TrG1031W	1752	376.293	107.482
TrG0710C	1050	11	5.94156
TrG0709W	687	51.11	51.1213
TrG0707C	1785	46	12.8544
TrG0706W	2109	30	6.91261
TrG0705C	360	13	48.0155
TrG0703C	771	5	4.17834
TrG0702W	1056	522.859	280.284
TrG0699C	900	35	23.3444
TrG0696W	1842	11	2.96298
TrG0695C	588	60.043	78.2008
TrG0694W	987	10	5.87075
TrG0691W	3291	4	0.561998
TrG0689C	1137	27	13.1335
TrG0688W	969	12	7.22397
TrG0685W	1428	23	8.39532
TrG0684C	1608	2	0.632391
TrG0683W	360	0	0
TrG0681C	1620	30	9.40203
TrG0680W	483	31.357	60.0806
TrG1101W	846	21	15.2999
TrG0679C	225	0	0
TrG0677W	174	0	0
TrG0676C	834	72	53.5554
TrG0674C	2649	17	3.03093
TrG0673C	864	56	39.5813
TrG0669W	2316	36	7.4591
TrG0920W	756	0	0
TrG0668C	1860	20	5.32655
TrG0667C	834	35	26.0339
TrG0666C	1059	12	6.4085
TrG0664W	1011	27	15.3434
TrG0663C	1428	54	19.7108
TrG0977W	633	0	0
TrG0662W	660	45	48.0513
TrG0661C	1464	3	1.06224
TrG0659W	1494	143.028	49.4099
TrG0655C	1107	25	12.5925
TrG0653W	1074	53.015	27.7891
TrG0651C	2487	26	4.97308
TrG0649W	2076	52	12.1999
TrG0648W	477	33	64.9725
TrG0646C	744	13	11.4703
TrG0645C	654	365.478	396.212
TrG0644C	1617	13	4.08324
TrG0643W	1905	42	10.8794
TrG1168C	798	15	11.9052
TrG0642W	747	13	11.3997
TrG0779W	1092	46.137	23.6591
TrG0639W	1017	60	33.8253
TrG0638W	1116	0	0
TrG0637W	462	0	0
TrG0636W	1656	428	130.671
TrG0635W	522	291.847	475.941
TrG0633W	1536	49	16.3693
TrG0632C	1983	0	0
