#gene_id	length	counts	tpm
TrG1209W	849	0	0
TrG1207W	708	21	18.7914
TrG1206C	1416	3559.69	1282.78
TrG1204W	1119	1	0.480898
TrG1203C	1554	2	0.645541
TrG1201W	678	0	0
TrG1199W	1014	1	0.545392
TrG1193W	408	0	0
TrG1191W	1398	0	0
TrG1189C	492	0	0
TrG1187W	1443	1	0.352333
TrG1186W	468	0	0
TrG1185W	948	0	0
TrG1184C	1032	221.088	117.87
TrG1182C	1455	0	0
TrG1180W	597	2	2.33139
TrG1179W	852	0	0
TrG1176C	1563	0	0
TrG1174C	456	0	0
TrG1172C	1485	0	0
TrG1171C	2868	20	3.23863
TrG1169C	1086	2	0.998921
TrG1159C	225	0	0
TrG1155C	1515	39	12.9704
TrG1149C	633	28	29.7219
TrG1147C	747	26	21.509
TrG1146C	2295	0	0
TrG1145W	894	0	0
TrG1144C	762	3	2.41176
TrG1142C	483	0	0
TrG1140W	1263	0	0
TrG1133C	2487	19	3.59632
TrG1130W	1002	0	0
TrG1127W	2295	71	14.6891
TrG1124C	1080	3	1.50897
TrG1118C	3420	65	8.70359
TrG1115W	1221	146	62.9767
TrG1111C	1347	39.168	14.9874
TrG1110W	2592	8	1.4469
TrG1108C	1389	22	8.11281
TrG1104W	999	20	11.1209
TrG1102C	597	42.007	48.967
TrG1094W	1797	16	4.36293
TrG1093W	1563	65	20.8383
TrG1092C	1926	7	1.76351
TrG1086W	1134	451	213.282
TrG1084C	4584	12	1.17714
TrG1083W	837	1	0.704527
TrG1082C	1155	26	12.0162
TrG1081W	3090	33	4.92879
TrG1079W	1062	30	15.4166
TrG1078W	360	0	0
TrG1076W	1347	7	2.6785
TrG1073C	1554	0	0
TrG1072W	1107	13	6.33732
TrG1071W	1428	7	2.49724
TrG1069W	1419	0	0
TrG1067W	1389	12	4.4252
TrG1066W	453	2	3.83737
TrG1064W	819	1	0.726058
TrG1063W	996	0	0
TrG1061C	6369	1	0.069568
TrG1055C	498	10	15.9649
TrG1054W	2088	11	2.52946
TrG1052C	984	4	2.26845
TrG1051W	1923	44	11.1045
TrG1050C	1629	17	5.19271
TrG1049W	2052	37	8.67639
TrG1048W	720	31	27.0602
TrG1047W	1191	2	0.889656
TrG1046C	3348	0	0
TrG1137C	468	0	0
TrG1045C	1026	5	2.6858
TrG1044C	2337	18	3.64972
TrG1043W	1206	9	3.94185
TrG1040W	621	4	4.37644
TrG1038W	888	0	0
TrG1036W	2247	13	2.75358
TrG1035C	801	3	2.24691
TrG1032C	678	1	0.954778
TrG1029C	3498	1	0.130704
TrG1027C	3093	165	24.6181
TrG1026C	1077	28	14.1337
TrG1025C	2277	14	2.92191
TrG1024C	1041	22	11.5986
TrG1023C	1293	0	0
TrG1020W	1449	10	3.50597
TrG1018W	417	3	6.85421
TrG1017C	2631	1	0.177923
TrG1016C	645	42	43.2923
TrG1015C	2913	5	0.796073
TrG1014W	1428	7	2.49724
TrG1013C	2421	3	0.584953
TrG1012C	846	0	0
TrG1011C	366	12	36.4006
TrG1006W	2421	1	0.194984
TrG1005W	2652	63	11.1119
TrG1004C	1545	65	21.1238
TrG1003W	4674	108	10.3797
TrG1002W	1035	2	1.06229
TrG1001C	1041	99.934	52.6863
TrG1000W	1287	479.213	193.787
TrG0999W	1101	24	11.7804
TrG0998C	1458	8	2.78421
TrG0997C	2073	0	0
TrG0996C	753	63.02	51.5357
TrG0995W	645	15.003	15.4644
TrG0993W	798	13	9.78813
TrG0991C	1632	9	2.7432
TrG0988C	2352	15	3.01992
TrG0986W	2619	23	4.11279
TrG0981W	2214	15.322	3.29934
TrG0980W	1716	5	1.43779
TrG0976W	924	1	0.61617
TrG0975C	1749	2	0.562612
TrG0974W	1620	0	0
TrG0973C	1116	2	0.965057
TrG0971C	1011	51	27.922
TrG0970C	240	0	0
TrG0968W	465	0	0
TrG0966C	189	0	0
TrG0965W	1326	91	35.4884
TrG0964C	1602	1	0.31147
TrG0962C	1572	49	15.6035
TrG0958W	1338	11	4.2433
TrG0953W	1023	0	0
TrG0951W	2445	289	55.7397
TrG0950W	2931	10	1.58153
TrG0949C	471	0	0
TrG0948C	528	2	2.87134
TrG0947W	1203	9	3.95402
TrG0944W	981	14	7.97124
TrG0939W	219	0	0
TrG0938W	477	12	20.7873
TrG1183C	1512	34	11.334
TrG0935W	633	0	0
TrG0934W	1881	7	1.8116
TrG0932W	612	0	0
TrG0931C	291	0	0
TrG0930C	1245	0	0
TrG0929W	1620	0	0
TrG0928W	519	38.175	56.5137
TrG0927C	5142	19	1.65204
TrG0926C	3078	42	6.29945
TrG0924C	1269	3	1.2342
TrG0923W	1269	0	0
TrG0922W	546	0	0
TrG0919C	1236	2	0.849817
TrG0916W	711	84	74.697
TrG0914C	2661	1	0.175726
TrG0907W	255	44	321.165
TrG0905W	555	0	0
TrG0904C	948	12	7.14664
TrG0898W	107	0	0
TrG0893C	1278	12	4.89435
TrG0890C	4182	275	29.721
TrG0887C	1236	39	16.5714
TrG0886W	363	24	74.1442
TrG0883W	510	0	0
TrG0882C	1023	0	0
TrG0881C	432	20	42.3529
TrG0880C	1335	3	1.16041
TrG0878W	4413	12	1.22528
