#OTU ID	E01L	E01S	N01L	N01S	S01L	S01S
345951	1	0	0	0	1	0
181432	1	1	0	42	0	1
364092	1	0	0	0	0	0
2250345	2	0	0	1	0	0
4477537	2	0	0	0	0	0
518686	1	0	0	0	0	0
1904686	1	0	0	1	0	0
245058	1	0	0	0	0	0
975306	5	1	0	32	27	41
524848	2	0	0	0	0	0
311820	1	0	0	1	6	1
4484466	1	2	0	0	0	0
220970	2	0	0	0	0	0
813675	1	0	0	0	0	0
941096	6	17	0	403	0	219
307238	1	0	0	5	3	4
189045	1	0	0	0	0	0
4380605	1	1	0	0	0	0
697063	1	3	0	0	0	93
4303370	1	0	0	0	0	0
214450	1	1	0	1	0	0
812351	1	3	0	0	1	0
178822	1	0	0	0	0	0
185864	1	0	0	1	1	0
4345850	1	0	0	0	0	0
181367	1	0	0	0	0	0
4301566	1	0	0	0	0	1
4336546	1	0	0	0	2	4
883748	2	2	0	1	0	0
187623	1	0	0	0	2	6
4396888	1	0	0	0	0	0
3589405	1	1	0	0	0	1
810399	5	42	0	10	1	84
2862781	1	0	0	0	0	0
158113	1	0	0	0	0	0
2814193	1	0	0	0	0	0
4072222	1	0	0	0	0	0
294202	1	0	0	0	0	0
844375	1	0	0	0	0	0
305997	1	0	0	0	0	0
174493	1	0	0	0	1	1
180572	3	0	0	15	0	0
1077185	1	0	0	0	0	0
851733	1	0	2	1	0	0
4366843	1	0	0	0	1	1
345899	1	0	0	0	0	0
184760	1	0	0	8	0	1
755242	1	0	0	0	0	0
351979	1	0	0	0	0	0
838147	1	0	0	0	0	0
194341	1	0	0	0	1	0
637049	2	7	2	5	12	0
4289643	1	0	0	0	0	0
806938	1	0	0	0	0	0
989456	1	0	0	0	0	0
191442	1	0	0	8	1	1
747821	1	0	0	0	0	0
221659	2	2	1	1	1	0
593016	1	0	12	4	0	0
1607371	1	0	0	0	0	0
196083	1	0	0	2	3	0
198450	1	0	0	7	5	26
4183249	3	0	0	0	0	0
2656868	1	0	0	3	1	0
369449	1	2	2	7	0	2
196314	1	0	0	5	3	0
114462	2	0	0	0	0	0
13811	1	5	2	1	0	0
323231	1	2	4	2	74	63
194696	1	0	2	2	7	5
182882	1	0	0	0	0	0
195997	1	0	0	2	0	0
60332	2	0	0	0	0	0
530327	3	0	1	1	0	2
195756	1	0	0	0	0	2
590124	1	0	0	0	0	0
2426688	1	1	0	0	7	0
183870	1	2	1	0	2	7
318190	1	0	0	1	0	0
4393745	1	0	0	0	0	0
178238	1	0	0	0	3	0
267416	1	0	0	0	0	0
197364	1	0	0	22	5	1
13995	1	0	0	0	0	0
1508541	1	0	0	5	0	1
757622	1	0	0	1	0	0
184000	1	0	1	0	0	0
316132	1	0	0	2	2	0
319275	1	0	0	2	17	1
3709990	1	0	0	0	0	0
3450453	1	0	0	0	0	1
1123250	1	0	0	1	0	1
194360	2	7	1	8	0	0
4468892	1	0	1	0	0	0
989234	1	0	0	0	0	0
545299	1	0	0	0	0	0
516093	1	0	0	10	0	0
2254001	1	0	0	0	0	0
198783	1	0	1	19	34	8
1092300	1	9	0	6	0	6
193831	2	0	0	1	0	1
327730	1	0	0	5	4	1
150412	1	0	1	13	0	2
1060104	1	0	0	8	0	2
183579	1	0	1	0	2	0
3465320	1	0	0	0	0	0
340219	1	0	0	4	1	1
185502	1	0	0	0	2	2
669726	1	0	0	0	0	0
4359216	2	0	0	2	0	0
4401375	1	0	0	2	6	2
196898	1	2	0	3	0	0
194110	2	1	0	2	0	0
171518	2	0	0	0	0	0
572476	1	0	1	1	4	8
4377328	1	0	0	0	0	0
536754	1	16	4	15	25	0
4363219	2	0	0	0	0	0
4327629	1	0	0	0	1	1
177561	1	3	0	42	0	0
3293888	1	0	0	0	0	0
365181	2	0	0	1	0	0
301270	2	8	0	1	1	0
184647	1	0	0	22	5	0
2203165	1	0	0	0	0	0
4174963	1	0	0	0	0	0
3890155	1	0	0	0	0	0
114821	2	0	0	22	2	0
182010	2	0	2	16	17	14
187470	1	0	0	0	0	0
354798	1	4	0	24	0	0
4346368	1	0	0	0	0	0
3351516	1	1	0	0	0	0
183157	1	0	1	12	1	0
2549971	1	0	0	0	1	0
4402254	1	4	0	93	0	22
184141	1	0	0	4	0	0
357389	2	2	0	22	5	3
367433	1	8	4	72	4	0
276149	1	2	20	2	0	24
299441	1	0	0	0	0	0
4425663	1	3	0	2	0	0
581021	1	0	0	0	0	0
239195	1	4	0	0	3	0
1111115	1	0	0	1	4	2
179018	1	10	1	312	3	0
197329	1	1	0	2	0	193
499019	1	0	0	0	0	0
172777	2	0	0	3	0	0
105287	1	0	1	1	0	0
354334	1	1	0	8	4	3
523844	1	0	0	2	0	1
329820	1	1	0	136	0	1
851634	1	0	0	0	0	0
208927	1	1	1	25	1	11
184753	1	0	0	0	0	0
3009852	1	0	0	6	2	4
210292	1	0	0	0	0	0
4370291	1	0	0	0	0	0
971607	1	1	0	1	0	0
189011	1	0	0	14	0	0
2855173	1	0	0	0	0	1
779987	1	0	0	0	10	1
1011398	1	0	0	0	0	0
299267	4	2	0	4	1	0
1106254	1	0	0	0	1	0
366771	1	0	0	0	0	1
174817	1	0	0	0	0	0
4312608	1	0	0	0	0	0
415315	1	0	1	0	0	0
4250634	1	0	0	0	4	4
1105555	1	0	0	0	0	1
1656781	1	0	0	1	0	0
2407149	1	0	0	0	0	0
536866	1	1	0	5	0	3
164915	1	0	0	1	0	0
1105328	1	0	0	0	0	0
542096	1	0	0	0	0	0
219064	1	17	11261	126	5	13
174571	1	0	0	0	2	0
348007	1	1	0	0	0	0
363389	1	10	2	111	0	1
1110104	1	0	0	0	0	0
191251	1	1	1	25	6	17
4390319	1	0	0	0	3	3
322281	1	0	0	0	0	0
4438116	1	0	0	0	0	0
1105984	1	4	0	2	0	2
359581	1	1	0	1	0	1
813564	1	0	0	0	0	0
91962	1	0	0	0	0	0
808501	1	0	0	0	0	0
330564	1	1	1	1	2	5
187894	1	0	0	5	3	1
959660	1	0	0	0	0	0
119010	1	0	0	0	0	0
183220	1	0	0	0	1	0
316438	1	0	0	0	0	0
4347652	1	0	0	0	0	0
1111768	1	0	40	6	0	1
212634	1	1	0	0	0	2
199047	1	0	0	6	2	0
328544	1	0	0	2	0	0
186139	1	0	0	0	0	0
195252	1	0	0	1	0	0
484751	1	0	0	1	0	0
340761	1	0	0	0	0	8
363358	1	5	6	84	85	753
667010	1	0	4	18	0	0
314095	1	0	0	20	0	0
3277423	1	0	0	0	0	0
531614	1	0	0	0	0	0
180462	1	0	0	1	0	1
195123	1	0	0	5	2	0
359809	1	0	0	24	4	0
187443	1	0	0	31	93	411
2951214	1	1	1	0	0	0
2210025	1	0	0	0	0	0
193008	1	0	0	0	1	1
554931	1	0	0	1	0	0
847092	1	1	0	2	0	0
42931	1	10	0	0	0	0
688267	1	0	0	0	0	0
181532	1	0	0	1	0	0
2653002	1	0	0	1	3	3
4144205	1	0	0	1	1	0
1050379	1	0	0	0	0	0
574457	1	0	0	0	0	0
538322	1	0	0	4	0	0
179291	1	0	0	1	0	1
366846	0	1	0	0	0	2
776657	0	7	0	0	0	0
308386	0	1	1	0	0	0
730733	0	3	0	0	1	7
353155	0	7	0	3	0	0
1013213	0	1	0	0	0	0
340474	0	1	0	1	6	3
107784	0	1	0	1	0	0
183780	0	1	1	18	2	2
326482	0	40	2	49	13	18
2220494	0	1	0	3	1	2
325419	0	49	0	2	0	3
313593	0	1	0	0	0	0
4334052	0	2	0	0	0	0
4378163	0	2	0	0	0	0
588929	0	6	2	13	4	1
308631	0	6	2	89	13	100
325650	0	7	0	1	0	0
1659608	0	1	1	0	0	0
527208	0	3	0	27	0	0
178627	0	3	0	0	5	0
1110008	0	1	0	2	0	0
1090059	0	2	0	0	0	0
4379666	0	1	0	0	0	0
160548	0	5	0	18	1	1
4365130	0	2	0	24	19	53
675673	0	3	0	0	0	0
422878	0	13	1128	111	1	1
1952427	0	6	0	0	0	0
266210	0	11	0	0	3	8
166908	0	1	0	0	0	0
213813	0	28	223	49	1	4
1037951	0	1	0	0	0	1
691423	0	7	0	0	0	0
292921	0	4	0	1	0	1
585480	0	1	0	49	0	0
1649772	0	3	0	2	3	0
3275934	0	1	0	0	0	0
921131	0	8	0	0	0	0
114510	0	4	0	1	11	0
318524	0	16	0	1	0	0
1076969	0	3	0	3	2	0
336325	0	2	0	0	0	0
4316928	0	16	0	2	0	0
274754	0	2	0	0	5	0
3149595	0	6	0	1	0	0
336133	0	12	2	28	8	41
294324	0	1	0	0	0	0
184991	0	1	0	5	0	0
513602	0	1	0	0	0	0
364903	0	5	70	16	4	1
1108453	0	1	0	0	0	0
815380	0	16	0	0	0	0
1143551	0	8	0	40	0	1
809848	0	10	0	0	0	0
856451	0	8	0	3	4	0
565484	0	1	0	0	0	0
259097	0	2	0	2	0	1
71331	0	1	0	4	0	7
184325	0	1	0	0	0	0
716006	0	12	1	1	0	269
374822	0	3	0	0	0	0
837804	0	1	0	0	0	0
2057787	0	3	0	0	0	0
144159	0	2	0	0	0	0
839235	0	4	0	1	3	0
851715	0	10	2	185	3	0
363735	0	1	0	2	0	3
369227	0	4	0	13	7	4
819387	0	2	0	0	0	0
4391009	0	1	0	1	0	0
911496	0	1	0	1	0	1
264552	0	1	0	0	0	0
1065011	0	1	0	0	0	0
576641	0	1	0	0	0	0
1065974	0	3	0	0	0	0
211191	0	1	0	33	0	0
262379	0	1	0	2	0	0
1110317	0	4	0	0	1	3
769222	0	14	0	9	0	10
306124	0	2	3	6	0	0
344804	0	1	11	12	0	1
194264	0	1	0	1	0	0
347138	0	8	2	356	4	2
746679	0	6	0	0	0	0
109703	0	1	0	0	0	0
193710	0	3	0	108	0	0
4362942	0	1	0	0	0	0
295146	0	2	0	0	2	0
350832	0	2	0	0	0	0
339358	0	6	2	21	4	1765
359750	0	3	0	18	0	0
1108846	0	1	0	0	0	0
1109709	0	4	0	23	1	2
213566	0	7	6	34	1	2
4449055	0	3	6	0	0	0
134072	0	1	0	0	0	0
1824908	0	11	0	1	0	0
656310	0	1	0	0	0	0
349929	0	1	0	0	0	0
521073	0	1	0	1	0	0
270598	0	2	0	0	0	0
1085646	0	13	0	0	0	4
1523627	0	1	0	0	0	0
345448	0	1	0	12	0	0
202662	0	1	0	1	0	0
527714	0	1	0	0	0	0
585188	0	3	0	0	1	0
509516	0	1	0	0	0	0
199226	0	2	3	1	0	0
208790	0	2	0	45	1	0
3995177	0	2	0	0	0	0
817254	0	2	0	0	0	0
3015662	0	3	0	1	0	0
197105	0	2	2	16	0	5
816868	0	1	0	0	0	0
197204	0	1	0	3	0	0
230741	0	1	0	3	2	12
357471	0	1	0	0	0	0
4434268	0	11	0	0	0	0
1029421	0	1	0	0	0	0
195095	0	1	0	2	0	0
1107314	0	3	0	0	0	0
74480	0	3	0	0	0	0
228556	0	7	0	0	0	0
511386	0	1	8	3	2	0
2034070	0	1	1	0	0	0
712677	0	1	0	0	0	0
177179	0	1	0	1	0	0
287445	0	2	0	0	0	0
709986	0	2	0	0	0	0
582303	0	2	0	0	0	0
184803	0	1	0	1	0	0
2236980	0	1	0	0	1	0
1503863	0	1	0	0	0	0
90189	0	2	0	1	0	0
4295707	0	3	0	33	0	0
4297222	0	2	0	2	0	0
12574	0	2	0	0	0	3
193037	0	7	1	16	55	107
269058	0	2	0	0	0	0
801579	0	1	0	0	0	0
2985051	0	14	0	0	0	0
2651538	0	1	0	0	2	0
586387	0	2	0	1	0	43
315589	0	1	8	74	0	1
329597	0	1	0	1	0	0
628226	0	2	0	0	0	0
4393962	0	1	0	0	0	0
145763	0	2	0	0	0	0
175375	0	4	0	0	0	0
199534	0	1	0	2	6	118
832223	0	3	0	0	1	0
917532	0	2	0	1	0	0
185988	0	2	0	0	0	0
528362	0	9	0	85	9	17
196753	0	2	0	1	0	0
555945	0	2	0	4	0	92
527891	0	1	0	0	0	0
834795	0	1	0	0	0	0
198869	0	1	0	30	0	1
290251	0	2	0	0	0	0
330469	0	3	0	2	55	163
529531	0	2	0	5	0	0
175508	0	1	0	0	0	0
208843	0	1	0	0	0	0
589329	0	3	0	1	1	1
522420	0	7	0	0	0	1
701221	0	3	0	4	0	1
840914	0	1	0	4	0	3
350627	0	1	0	13	0	0
312440	0	1	0	0	0	0
1109860	0	2	0	0	0	0
158963	0	5	2	6	3	2
588197	0	2	1	1	12	0
524725	0	2	0	0	0	5
338222	0	1	0	0	0	0
1108643	0	1	0	1	2	0
1111333	0	1	0	0	0	0
4343627	0	2	0	1	4	2
879972	0	1	0	1	0	0
296134	0	1	0	0	0	0
353417	0	1	0	4	0	0
3929758	0	1	0	1	1	0
1040889	0	2	0	3	0	1
586950	0	1	0	0	0	0
183104	0	1	0	0	0	0
955073	0	2	0	0	0	0
152485	0	1	0	0	2	0
1106362	0	1	2	0	0	0
343934	0	1	0	2	1	0
4411390	0	1	0	0	0	0
812800	0	1	0	0	0	0
516513	0	3	0	0	1	4
382348	0	1	0	0	0	0
185583	0	5	0	6	94	81
873645	0	3	0	0	1	0
363064	0	1	0	2	0	0
159299	0	1	0	0	0	0
970318	0	2	0	0	0	0
325254	0	2	0	0	1	1
248902	0	3	0	10	3	10
4378740	0	1	0	1	0	1
232696	0	1	0	0	0	0
180687	0	1	0	0	0	0
1694319	0	1	0	0	0	1
311390	0	1	0	0	0	0
540055	0	2	0	0	0	0
4016971	0	1	0	0	0	0
583571	0	1	17	1	0	0
191908	0	1	0	1	1	0
353657	0	1	0	1	1	0
342375	0	1	0	0	106	5
2733439	0	1	0	0	0	0
337765	0	2	0	1	2	1
323135	0	4	5	72	0	0
509416	0	5	0	61	80	4
1074210	0	4	1	1	0	279
235262	0	1	0	0	0	0
4414809	0	1	0	0	0	0
760967	0	1	0	0	0	0
3695679	0	1	0	1	4	3
181084	0	1	4	6	0	0
587933	0	1	0	0	0	0
177530	0	1	0	0	0	0
328727	0	1	0	0	0	0
643362	0	1	0	0	0	0
554796	0	3	0	1	0	0
279144	0	1	0	0	0	0
310131	0	1	0	0	0	0
4473976	0	1	0	0	0	0
191687	0	1	0	1	4	1
4316566	0	1	0	0	0	0
2017729	0	1	0	1	0	0
798568	0	1	0	0	0	0
197248	0	1	0	0	1	2
526682	0	1	0	0	0	1
1107027	0	1	0	5	3	0
825362	0	1	0	0	0	0
4419107	0	1	0	0	0	0
196946	0	1	0	0	0	1
347529	0	2	0	0	0	0
273997	0	1	0	0	0	0
182413	0	1	0	1	2	0
246248	0	1	0	0	0	0
539360	0	1	0	28	0	22
368203	0	1	0	0	3	4
4471279	0	1	0	0	0	2
555970	0	1	0	0	0	0
52232	0	1	0	0	0	0
204099	0	1	0	0	0	0
365484	0	2	0	1	0	0
207390	0	1	0	0	0	0
853316	0	1	0	0	0	0
306633	0	3	0	0	1	2
196134	0	1	0	1	1	0
186358	0	3	0	3	17	3
197490	0	1	0	0	2	2
1127857	0	1	0	0	0	0
141145	0	2	0	0	1	0
2462226	0	1	0	0	2	0
343257	0	1	47	3	0	0
4385407	0	1	0	0	0	0
962249	0	2	2	9	0	0
823803	0	1	0	0	0	0
338754	0	1	7	0	1	1
2646044	0	1	0	0	0	0
2075910	0	1	0	8	0	0
179861	0	1	0	0	0	0
342380	0	4	0	2	7	73
100744	0	1	0	0	0	0
314996	0	1	0	0	0	0
256109	0	1	0	0	0	0
805007	0	1	0	0	0	0
4305527	0	1	0	0	0	0
395249	0	3	0	0	0	2
187582	0	3	0	20	2	1
2388617	0	1	0	0	2	0
805066	0	1	0	1	1	1
780650	0	1	0	3	0	0
258375	0	2	0	1	0	0
823024	0	1	0	0	0	0
521424	0	1	0	0	0	0
1029949	0	1	0	3	4	0
721740	0	1	0	0	0	0
588520	0	1	0	0	0	0
175138	0	1	2	13	0	11
527941	0	1	0	25	0	2
294710	0	2	0	14	3	0
348703	0	1	1	1	0	0
81358	0	1	0	0	0	0
571458	0	1	0	0	0	0
320120	0	1	0	0	0	0
414949	0	1	0	0	0	0
327826	0	2	0	1	0	0
365167	0	1	0	0	0	0
229434	0	1	0	0	0	0
4412860	0	1	0	0	0	1
199245	0	1	0	33	0	0
562129	0	2	0	0	0	0
541859	0	1	0	1	0	0
4361768	0	2	0	0	0	3
3057630	0	1	0	0	0	0
777667	0	1	0	0	0	0
2058521	0	2	0	3	3	17
343709	0	1	0	0	1	0
593419	0	1	0	0	0	0
327851	0	4	0	0	0	0
135952	0	1	0	5	0	0
532912	0	1	0	0	0	0
559527	0	1	0	0	0	0
527879	0	1	0	0	0	1
555692	0	1	0	0	0	0
199256	0	1	0	0	0	0
696563	0	2	0	1	1	0
72559	0	1	0	0	1	0
523784	0	1	0	1	0	0
196082	0	1	0	0	0	1
546557	0	1	0	0	0	0
4327323	0	1	0	0	0	0
808437	0	1	0	0	0	0
229228	0	1	0	1	0	1
536238	0	2	0	0	0	0
2354022	0	1	0	0	0	0
580008	0	2	0	7	3	37
3910247	0	2	0	2	0	0
284308	0	1	0	1	0	0
311974	0	1	0	0	0	0
352304	0	1	2	25	6	51
4395096	0	1	0	0	1	0
703741	0	1	0	4	0	0
157376	0	1	0	0	0	0
771824	0	1	0	0	0	0
114166	0	1	0	0	0	0
195258	0	1	1	4	7	22
165118	0	2	0	4	1	3
178081	0	1	0	1	6	11
586458	0	1	1	0	0	0
251387	0	1	0	0	0	0
785526	0	1	0	0	0	0
4346677	0	1	0	0	1	0
181336	0	1	0	5	0	0
189916	0	1	0	6	3	1
824190	0	1	0	0	0	0
302960	0	1	0	0	0	0
194104	0	1	0	4	2	2
3426658	0	1	0	2	0	0
2680998	0	1	0	0	0	0
192009	0	1	0	2	0	0
4401267	0	1	0	1	0	0
967275	0	1	0	0	0	0
2885855	0	1	0	0	0	0
1105894	0	1	0	0	1	0
362501	0	1	0	0	0	0
873972	0	1	0	0	0	0
4391448	0	1	0	0	0	0
515953	0	1	6	10	24	172
4437520	0	1	0	0	0	1
4397708	0	1	0	0	0	0
848768	0	1	0	0	0	0
95014	0	1	0	1	3	0
316378	0	1	0	0	0	0
182903	0	1	0	0	1	0
178965	0	1	0	0	0	0
177820	0	1	0	0	0	1
211929	0	1	0	0	0	0
822540	0	1	1	2	0	1
187099	0	1	2	4	0	0
509773	0	1	0	2	0	0
1050608	0	1	0	0	0	0
798634	0	1	0	0	0	0
313121	0	1	0	4	0	0
188099	0	1	0	8	5	0
350255	0	1	1	44	0	0
524884	0	1	0	19	0	0
316515	0	1	0	12	0	0
684858	0	1	0	2	0	0
4307094	0	1	0	0	0	0
208539	0	1	0	0	0	0
261285	0	1	0	0	2	0
156632	0	1	0	0	0	0
250626	0	1	0	0	0	0
177520	0	1	0	1	1	0
4299624	0	1	0	0	0	0
584241	0	1	0	1	5	0
250370	0	1	0	0	0	0
3180933	0	1	0	1	0	2
15458	0	1	0	0	0	0
4374930	0	1	0	0	0	1
177670	0	1	0	5	2	4
556990	0	1	0	0	0	0
4478413	0	1	0	0	0	0
337403	0	1	1	8	0	1
193667	0	1	1	9	3	8
1105876	0	1	0	9	0	0
741918	0	1	0	0	0	0
276632	0	2	0	6	0	0
359020	0	1	0	0	0	0
514523	0	1	0	9	0	0
104142	0	1	0	0	0	0
222842	0	2	278	30	1	0
194008	0	1	0	2	1	0
4429981	0	1	8	81	0	0
566243	0	1	0	0	0	0
312882	0	1	0	0	0	39
2119418	0	2	0	0	2	0
69933	0	1	0	1	0	0
266558	0	1	0	0	0	0
349809	0	1	0	0	2	0
639627	0	2	0	0	0	0
363264	0	1	0	0	0	0
1147868	0	1	2	0	1	0
971907	0	1	0	0	1	0
522057	0	2	0	3	0	8
5158	0	1	0	3	0	1
4483337	0	1	0	0	0	0
291648	0	1	0	4	0	0
350681	0	1	2	10	20	99
149335	0	1	0	0	0	0
198595	0	1	0	0	0	0
158415	0	1	0	9	0	0
297756	0	1	0	1	2	0
2749362	0	1	0	0	0	0
344523	0	1	0	0	0	0
348680	0	1	0	2	0	0
4414476	0	1	0	22	5	1
803010	0	1	0	0	0	0
548032	0	1	2	1	0	2
4295763	0	2	0	1	3	0
178810	0	2	0	2	1	0
369486	0	1	0	25	65	1
358265	0	1	0	2	3	8
181759	0	1	0	12	5	0
4305923	0	1	0	1	0	0
517565	0	1	0	0	0	0
233648	0	1	0	0	0	0
187388	0	1	2	1	0	0
308983	0	1	0	1	3	0
368615	0	1	0	1	0	1
187180	0	1	0	0	4	6
186385	0	4	0	0	1	0
98605	0	1	0	2	1	0
81191	0	1	0	0	0	0
4434334	0	2	0	0	0	52
154337	0	1	0	0	0	0
3035308	0	2	0	6	0	0
4111715	0	1	0	1	1	0
183601	0	1	0	1	0	3
364341	0	1	0	23	0	0
196061	0	1	0	0	0	0
591635	0	2	0	0	0	0
360000	0	1	2	2	1	0
539915	0	1	0	1	0	0
3697034	0	1	0	0	0	2
4305372	0	1	0	0	0	0
621166	0	1	0	0	0	0
533903	0	1	0	0	0	0
977027	0	1	0	0	2	0
294885	0	1	0	1	0	0
1111006	0	1	0	0	0	0
198956	0	1	0	5	16	7
1024529	0	1	0	0	0	0
179402	0	2	1	1	0	0
308760	0	1	0	0	0	0
925031	0	1	0	1	0	0
941252	0	1	0	0	0	0
243315	0	1	0	0	0	0
361082	0	1	0	0	0	0
533133	0	1	0	6	0	0
4448928	0	1	1	0	0	0
191110	0	1	0	0	0	0
511795	0	1	0	5	0	0
356011	0	1	0	0	0	0
637409	0	1	0	0	0	8
540086	0	1	0	0	0	0
187504	0	1	0	1	3	10
764682	0	1	0	0	0	0
1110985	0	1	0	0	1	0
350091	0	1	2	1	1	10
174516	0	1	0	131	0	0
142908	0	1	0	0	0	0
508968	0	1	3	22	15	24
1108339	0	1	0	0	0	0
767863	0	1	0	0	0	2
3643988	0	2	0	0	0	0
1110836	0	1	0	0	0	0
4349867	0	1	0	0	0	0
692823	0	1	0	0	0	1
513935	0	2	0	1	0	1
4475784	0	2	0	0	0	7
585435	0	1	0	0	0	0
533373	0	1	0	0	0	0
1107510	0	1	0	0	1	0
270409	0	1	0	0	0	0
353782	0	1	0	0	0	0
1108591	0	1	0	0	0	0
4335578	0	1	0	0	0	4
164413	0	1	0	0	0	0
537098	0	1	0	0	0	0
191595	0	1	0	0	0	0
620935	0	1	0	0	0	0
197500	0	1	0	0	0	1
516022	0	1	0	8	0	18
189996	0	1	0	0	0	0
540862	0	1	0	0	0	0
272886	0	1	0	0	0	0
3876673	0	1	0	1	0	0
3682570	0	1	0	0	0	0
4431803	0	1	0	0	0	1
360808	0	1	0	0	0	0
1111782	0	1	0	2	1	0
189645	0	1	0	0	0	0
4363793	0	1	0	0	0	0
192438	0	1	0	0	5	5
1000273	0	1	3	0	0	0
1820513	0	0	45	4	0	0
2530636	0	0	60	4	0	0
178607	0	0	1	6	1	0
358493	0	0	9	1	0	0
168289	0	0	2	11	0	0
4369878	0	0	2	0	0	1
849393	0	0	1	0	0	0
341920	0	0	1	13	0	0
208972	0	0	5	0	0	0
223773	0	0	36	1	0	0
836050	0	0	78	5	1	0
297111	0	0	1	3	0	0
1082539	0	0	2	2	0	0
826624	0	0	1	0	0	0
349065	0	0	37	2	0	0
187179	0	0	23	4	0	0
333166	0	0	8	34	7	0
312628	0	0	2	12	0	0
197095	0	0	8	1	0	2
214036	0	0	2	1	0	0
318970	0	0	1	1	1	0
237265	0	0	9	0	0	0
188706	0	0	2	0	1	0
349789	0	0	1	0	0	0
1108449	0	0	15	2	0	0
1677528	0	0	2	1	4	0
302539	0	0	1	0	0	0
2201995	0	0	7	1	0	0
821712	0	0	1	0	0	0
187594	0	0	1	0	0	0
193336	0	0	3	35	25	19
182668	0	0	4	55	28	115
585869	0	0	1	0	0	0
369555	0	0	33	6	0	0
25947	0	0	2	0	0	2
326626	0	0	1	0	0	0
345111	0	0	1	23	8	71
232975	0	0	2	4	0	0
832846	0	0	3	0	0	0
176645	0	0	2	1	0	0
4473506	0	0	3	0	0	0
562924	0	0	1	1	0	1
584463	0	0	2	0	0	0
2386814	0	0	1	0	0	0
367232	0	0	1	0	0	0
1069478	0	0	7	0	0	0
4331760	0	0	1	1	1	17
224379	0	0	1	0	0	0
264343	0	0	3	0	0	0
196831	0	0	1	1	0	2
617766	0	0	2	0	0	0
327218	0	0	3	4	0	0
190155	0	0	3	2	1	1
186262	0	0	7	15	6	6
230897	0	0	3	0	0	0
168254	0	0	1	0	0	0
185420	0	0	2	3	30	856
1111883	0	0	1	0	0	1
290715	0	0	1	0	0	0
177484	0	0	1	0	0	0
4350593	0	0	1	0	0	0
4407515	0	0	1	1	131	26
340995	0	0	4	2	0	0
4426641	0	0	3	2	0	0
1132235	0	0	2	0	0	0
767207	0	0	2	0	0	0
2561267	0	0	1	0	0	0
1111584	0	0	9	0	0	0
1062061	0	0	3	23	2	10
4256470	0	0	1	0	13	16
541318	0	0	6	0	0	0
343389	0	0	2	0	0	0
190251	0	0	2	11	2	1
355975	0	0	1	40	89	7
276236	0	0	1	0	0	0
4462613	0	0	1	0	0	0
565357	0	0	2	2	0	0
461795	0	0	1	0	0	0
176108	0	0	4	9	0	22
196632	0	0	3	8	1	14
349018	0	0	1	0	0	0
191872	0	0	1	3	1	0
212686	0	0	2	1	0	0
362991	0	0	2	4	0	0
148003	0	0	1	0	1	0
1091625	0	0	1	0	0	0
4434294	0	0	2	0	0	0
296394	0	0	1	1	0	0
3141094	0	0	1	0	0	9
189708	0	0	2	13	1	3
289293	0	0	1	0	0	0
965853	0	0	1	0	0	0
311961	0	0	1	3	2	1
176269	0	0	1	6	1	0
300136	0	0	1	9	0	0
410242	0	0	1	1	0	0
158314	0	0	5	1	0	0
185659	0	0	1	0	0	0
550937	0	0	1	0	0	0
575041	0	0	1	2	1	56
199761	0	0	2	9	2	7
158711	0	0	1	0	5	4
157454	0	0	1	0	0	0
581189	0	0	1	0	0	1
1974538	0	0	2	0	0	0
2280817	0	0	1	9	0	0
157424	0	0	4	3	0	0
300978	0	0	1	42	2	34
299851	0	0	1	0	0	0
187056	0	0	1	0	0	0
4450533	0	0	1	0	0	0
197274	0	0	1	2	0	3
196047	0	0	1	0	0	0
124470	0	0	1	1	0	0
753294	0	0	1	0	0	0
352529	0	0	1	1	0	5
4366365	0	0	1	2	0	0
196713	0	0	1	3	2	0
843785	0	0	1	2	0	0
369996	0	0	1	1	1	1
217093	0	0	1	0	0	0
564140	0	0	2	26	17	43
4430952	0	0	1	3	0	0
197832	0	0	1	0	0	0
345717	0	0	2	2	0	0
593965	0	0	1	20	1	0
584263	0	0	1	0	0	0
188658	0	0	1	1	0	0
81029	0	0	1	0	0	0
514996	0	0	1	25	2	0
206233	0	0	2	0	0	0
333886	0	0	1	15	0	57
175241	0	0	2	33	2	100
187569	0	0	1	1	2	0
312082	0	0	1	0	0	0
197943	0	0	1	4	1	0
647343	0	0	1	0	0	4
361683	0	0	1	1	0	0
90487	0	0	1	0	0	0
198967	0	0	2	4	2	137
327969	0	0	1	0	0	0
179358	0	0	1	2	0	0
180927	0	0	1	1	0	0
228113	0	0	1	0	0	0
268361	0	0	1	0	0	0
1107761	0	0	1	0	0	0
326609	0	0	1	1	0	1
329073	0	0	1	0	0	0
366584	0	0	1	22	0	0
296010	0	0	1	0	0	0
4483963	0	0	1	0	1	0
297438	0	0	1	0	0	0
181204	0	0	1	5	13	30
4443664	0	0	1	0	2	0
198198	0	0	1	0	0	0
926461	0	0	1	0	0	0
194667	0	0	2	3	0	0
179095	0	0	1	0	0	0
4340420	0	0	2	0	0	0
617861	0	0	1	0	0	0
208949	0	0	1	0	1	0
326486	0	0	1	1	2	1
341622	0	0	1	11	5	8
180771	0	0	1	13	1	0
348227	0	0	1	0	0	0
4357222	0	0	2	0	0	0
194756	0	0	2	1	0	0
110059	0	0	1	0	0	0
358333	0	0	1	10	2	7
350865	0	0	1	2	1	0
